,KODE,NAMA BAHAN,SUMBER,Food Group,Type,AIR (g),ENERGI (Kal),PROTEIN (g),LEMAK (g),KH (g),SERAT (g),ABU (g),KALSIUM (mg),FOSFOR (mg),BESI (mg),NATRIUM (mg),KALIUM (mg),TEMBAGA(mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR -TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT_C (mg),Unnamed: 24
0,TUNGGAL/SINGLE,,,biji bijian,single,,,,,,,,,,,,,,,,,,,,,,
1,CR001,"Kacang arab, kering",DABM-1964,biji bijian,single,11.6,330.0,23.8,1.4,60.2,17.4,3,57.0,388.0,4.7,24.0,874.3,0.85,3.4,,40,140.0,0.77,0.21,1.5,2.0,100.0
2,CR002,"Kacang babi, kering",KZGPI-1990,biji bijian,single,11.6,341.0,30.4,3.2,51.3,4.5,3.5,178.0,521.0,6.8,13.0,1768,0.82,3.1,,,87.0,0.23,0.33,2.8,,80.0
3,CR003,"Kacang belimbing
(kecipir), kering",KZGPI-1990,biji bijian,single,10.4,400.0,34.4,16.9,34.1,10.7,4.2,468.0,182.0,6.8,37.0,955,2.82,2.0,,,,0.3,0.44,3.0,,100.0
4,CR004,"Kacang beracun, segar",KZGMI-2001,biji bijian,single,72.1,118.0,4.4,1.5,21.6,,0.4,50.0,50.0,1.7,10.0,40,0.3,1.0,,,,0.43,,,,
5,CR005,"Kacang bogor, kering",DABM-1964,biji bijian,single,10.0,370.0,16.0,6.0,65.0,26.3,3,85.0,264.0,4.2,44.0,868.8,1.48,2.7,0.0,,,0.18,0.26,6.2,0.0,100.0
6,CR006,"Kacang bogor, segar",KZGPI-1990,biji bijian,single,60.8,165.0,7.7,3.1,27.4,2.5,1,96.0,126.0,5.3,6.0,537,0.41,1.2,,29,,0.32,0.35,2.7,,100.0
7,CR007,"Kacang endel, biji,
kering",DABM-1964,biji bijian,single,14.0,331.0,25.0,1.0,58.0,23.6,2,80.0,400.0,5.0,12.0,1322.4,0.68,2.7,0.0,,,0.3,0.75,2.3,,95.0
8,CR008,"Kacang ercis, segar",KZGMI-2001,biji bijian,single,67.6,129.0,12.4,0.7,18.3,28.6,1,40.0,130.0,2.3,4.0,310,0.3,2.1,,212,,0.29,0.05,2.7,,45.0
9,CR009,"kacang galing, segar",DABM-1964,biji bijian,single,12.0,336.0,23.1,1.7,59.5,,3.8,80.0,400.0,5.0,,,,,0.0,,,0.6,,,0.0,95.0
10,CR010,"Kacang gude, biji,
kering",KZGPI-1990,biji bijian,single,16.1,316.0,20.7,1.0,58.0,4.6,4.2,146.0,445.0,4.7,16.0,1306.2,0.99,2.7,,19,,0.3,0.19,2.4,,100.0
11,CR011,"Kacang gude, biji,
segar",DABM-1964,biji bijian,single,70.3,114.0,7.0,0.6,20.8,4.4,2.3,3.0,122.0,1.5,4.0,480.5,0.12,0.9,,,70.0,0.37,0.07,0.8,43.0,100.0
12,CR012,"Kacang hijau var,
bakti, kering",KZGPI-1990,biji bijian,single,7.4,350.0,17.1,1.8,70.7,5.7,3.1,94.0,315.0,4.9,46.0,893.9,1.52,3.1,,171,235.0,0.4,0.27,2.6,11.0,100.0
13,CR013,"Kacang hijau var,
siwalik, kering",KZGPI-1990,biji bijian,single,8.8,339.0,20.8,2.1,64.6,7.4,3.7,122.0,136.0,4.9,45.0,880.4,1.5,3.1,,168,321.0,0.45,0.27,2.6,,100.0
14,CR014,"Kacang hijau, kering",KZGPI-1990,biji bijian,single,15.5,323.0,22.9,1.5,56.8,7.5,3.3,223.0,319.0,7.5,42.0,815.7,1.9,2.9,,156,223.0,0.46,0.15,1.5,10.0,100.0
15,CR015,"Kacang hitam, kering",KZGMI-2001,biji bijian,single,12.5,346.0,16.6,1.7,66.1,22.8,3.1,70.0,300.0,4.7,3.0,0,0.9,3.5,,28,,0.16,0.1,2.1,,100.0
