KODE,NAMA BAHAN,SUMBER,AIR (g),ENERGI (Kal),PROTEIN (g),LEMAK (g),KH (g),SERAT (g),ABU (g),KALSIUM (mg),FOSFOR (mg),BESI (mg),NATRIUM (mg),KALIUM (mg),TEMBAGA(mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR -TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT_C (mg),
TUNGGAL/SINGLE,,,,,,,,,,,,,,,,,,,,,,,,
ER001,"Alpukat, segar",DABM-1964,84.3,85,0.9,6.5,7.7,,0.6,10,20,0.9,2,278,0.2,0.4,,189,180,0.05,0.08,1,13,61
ER002,"Anggur hutan, segar",KZGPI- 1990,92.3,30,0.5,0.2,6.8,1.2,0.2,39,12,1.1,,,,,0,,1,0.01,,,3,100
ER003,"Apel malang, segar",KZGPI- 1990,85.9,57,0.5,0.4,12.8,0.8,0.3,9,18,0.6,3.6,175.4,110.2,0,,26,2240,0.05,0.03,0.1,5,88
ER004,"Apel, segar",DABM-1964,84.1,58,0.3,0.4,14.9,2.6,0.3,6,10,0.3,2,130,124.2,0.3,,30,90,0.04,0.03,0.1,5,88
ER005,"Arbai, segar",DABM-1964,89.9,37,0.8,0.5,8.3,,0.5,28,27,0.8,1.95,43,63.5,18.9,,2,60,0.03,0,0.1,60,96
ER006,"Belimbing, segar",DABM-1964,90,36,0.4,0.4,8.8,3.2,0.4,4,12,1.1,4,130,,0.1,,29,170,0.03,,,35,86
ER007,"Biwah, segar",KZGPI- 1990,87.1,51,0.3,0.1,12.1,0.7,0.5,220,14,0.8,1,258.6,0,0,0,,12256,0.1,0.02,0,4,66
ER008,"Buah atung, segar",DABM-1964,92,23,0.8,0.2,5.2,,1.8,30,50,4.6,,,,,,,0,0.29,,,38,80
ER009,"Buah kelenting, segar",KZGMI-2001,73.9,110,1.4,2.1,21.4,,1.2,8,102,1.1,2,0,0.3,0.9,,,,0.2,0.1,,6,77
ER010,"Buah kom, segar",KZGPI- 1990,33.7,264,4,1.1,59.6,9,1.7,306,92,0.8,,,,,0,,400,0.11,,0,9,100
ER011,"Buah mentega
(Bisbul), segar",DABM-1964,89,39,0.7,0.2,9.7,2,0.4,43,17,0.8,1,90,0.1,0.1,,141,55,0.02,0.01,0.1,33,50
ER012,"Buah Naga Merah,
segar",BKP,85.7,71,1.7,3.1,9.1,3.2,0.4,13,14,0.4,10,128,0,0.4,,0,0,0.5,0.3,0.5,1,66.5
ER013,"Buah Naga Putih,
segar",BKP,86.6,56,0.8,1,10.9,3.2,0.6,13,27,0.5,7,231,0,0.4,,0,0,0.02,0.5,0.9,1,73.6
ER014,"Buah negri, segar",KZGMI-2001,85.7,55,1.2,0.1,12.2,5.2,0.8,30,40,0.2,10,0,0.1,0.3,,460,,0.33,0.03,0.1,9,48
ER015,"Buah nona, segar",DABM-1964,71.5,101,1.7,0.6,25.2,2.8,1,27,20,0.8,5,312.5,325.7,0.1,,49,,0.08,0.16,0.9,22,58
ER016,"Buah rotan, segar",KZGMI-2001,79.4,78,0.6,0.3,18.2,,1.5,1,7,3.4,7,495,0.3,0.7,,,,0.12,0,,5,
ER017,"Buah rukam, segar",KZGMI-2001,71.3,113,0.8,0.3,26.8,7.7,0.8,108,52,1.2,2,219,0.3,0.9,,17,,0.06,0.01,,20,100
ER018,"Buah ruruhi, segar",KZGMI-2001,93,29,2.1,0.7,3.6,2.6,0.3,6,7,0,36,45,0,0.1,,7,,0.06,0.01,,10,82
ER019,"Buah tuppa, segar",KZGMI-2001,82.5,67,0.4,0.2,15.9,,1,12,139,0.5,2,0,0.2,0.5,,,,0.04,0.01,,5,
ER020,"Carica papaya, segar",KZGPI- 1990,93.4,24,1.9,0.2,3.7,1,0.9,51,33,1.8,,,,,0,0,1000,0.32,0.07,0,85,60
ER021,"Cempedak, segar",DABM-1964,67,116,3,0.4,28.6,3.4,1,20,30,1.5,25,243.7,,,,79,200,0,,0.5,15,30
ER022,"Duku, segar",DABM-1964,82,63,1,0.2,16.1,4.3,0.7,18,9,0.9,2,149,0.1,0.2,,0,0,0.05,0.15,1.5,9,64
ER023,"Durian, segar",DABM-1964,65,134,2.5,3,28,3.5,8,7,44,1.3,1,601,0.1,0.3,,146,175,0.1,0.19,136.5,53,22
ER024,"Duwet, segar",KZGPI- 1990,80.2,80,0.5,0.6,18.2,0.9,0.5,33,138,1.3,16,92.7,191.3,0.3,0,329,0,0.02,0.01,2.5,"13
0",67
ER025,"Embacang, segar",DABM-1964,72.5,98,1.4,0.2,25.4,1.9,0.5,21,15,0.5,3,250.9,0.1,0.1,,2533,1218,0.03,0.09,0.7,56,65
ER026,"Encung asam, segar",KZGPI- 1990,73,122,3.5,4.5,17.5,9.3,1.5,63,69,3.2,,,,,0,,2357,0.02,,,0,98
ER027,"Erbis, segar",DABM-1964,80,70,0.6,0,18.9,7.7,0.5,11,50,1.1,21,257.1,0.1,0.1,,549,10,0,0.1,1.1,16,33
ER028,Gandaria masak,DABM-1964,80.8,68,0.7,0.1,18,2.2,0.4,9,20,1,3,129,,,,329,1020,0.03,0.07,0.7,"11
1",70
ER029,"Gatep, segar",KZGPI- 1990,52.7,191,4.5,1.5,39.7,13.4,1.6,186,69,3.2,17,403.3,0.7,1.3,,51,,0.05,0.2,1.8,,100
ER030,"Jambu air, segar",DABM-1964,87,46,0.6,0.2,11.8,2.1,0.8,8,9,1.1,11,321.2,,0.1,,92,,0.02,0.38,4.6,5,90
ER031,Jambu biji,DABM-1964,86,49,0.9,0.3,12.2,2.4,0.6,14,28,1.1,10,52.8,0,0.3,,27,25,0.02,0.03,0.8,87,82
ER032,"Jambu bj putih tdk
brbj",KZGPI- 1990,82.8,61,0.9,0.3,15.4,4.5,0.6,31,41,0.2,20,103,0,0.5,,53,18,1.02,0.06,1.3,"11
6",82
ER033,"Jambu bol, segar",KZGMI-2001,87.1,49,2.3,0.2,9.6,3.5,0.8,8,8,0.3,1,14,0,0,,92,,0.13,0.01,0.5,22,67
ER034,"Jambu monyet, segar",DABM-1964,82.6,64,0.7,0.6,15.8,1.2,0.3,4,13,0.5,12,107.8,,,,1604,25,0.02,0,2,"19
7",90
ER035,"Jeruk bali, segar",DABM-1964,86.3,48,0.6,0.2,12.4,0.8,0.5,23,27,0.5,21,366.1,171.3,0.1,,33,20,0.04,0,0.4,43,62
ER036,"Jeruk banjar, segar",KZGMI-2001,84.5,61,0.8,0.2,14.1,5.4,0.4,9,13,0.2,3,79,0.1,0.1,,9,,0.12,0.03,0.3,31,72
ER037,Jeruk garut-keprok,DABM-1964,87.3,44,0.8,0.3,10.9,1.6,0.7,33,23,0.4,5,518.1,169.3,0.2,,0,420,0.07,0.03,0.2,31,71
ER038,"Jeruk Kalamansi, segar",BKP,90.2,39,0.3,0.3,8.9,2.3,0.4,42,85,0.5,3,82,0.3,0.1,,1,0.3,0.02,0.1,0,30,100
ER039,"Jeruk manis, segar",DABM-1964,87.2,45,0.9,0.2,11.2,1.4,0.5,33,23,0.4,4,472.1,160,0.2,,0,190,0.08,0.03,0.2,49,72
ER040,"Jeruk nipis, segar",KZGPI- 1990,88.9,44,0.5,0.2,10,0.4,0.4,18,22,0.2,3,108.9,0.1,0.1,,23,4,0.01,0.03,0.2,20,76
ER041,"Jeruk ragi, segar",KZGPI- 1990,87.6,49,0.7,0.2,11.1,0.5,0.4,36,67,0.7,4,457.3,155,0.2,,0,68,0.03,0.03,0.2,30,59
ER042,"Kawista, segar",KZGPI- 1990,71.8,120,3.5,2.5,20.8,4.6,1.4,190,230,1.6,9,1015.6,308.4,0.4,,99,,0.07,0.07,0.4,3,72
ER043,"Kedondong masak,
segar",DABM-1964,88,46,1,0.1,10.3,2.6,0.6,15,22,2.8,2,216.2,0,0.1,,164,233,0.08,0.23,0.3,30,58
ER044,"Kedondong, segar",KZGMI-2001,87.8,47,0.5,0.2,10.4,2.7,0.6,7,58,0.8,2,0,,0.2,,167,,0.07,0.04,0.4,32,58
