KODE,NAMA BAHAN,SUMBER,AIR (g),ENERGI (Kal),PROTEIN (g),LEMAK (g),KH (g),SERAT (g),ABU (g),KALSIUM (mg),FOSFOR (mg),BESI (mg),NATRIUM (mg),KALIUM (mg),TEMBAGA(mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR -TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT_C (mg),
TUNGGAL/SINGLE,,,,,,,,,,,,,,,,,,,,,,,,
NR001,"Asam arang coklat,
segar",KZGPI- 1990,66.1,130,0.5,1.1,30.9,1.5,1.4,79,113,4.3,13,,0,,,745,0,0.01,0.2,0,0,
NR002,"Asam arang merah,
segar",KZGPI- 1990,75.9,99,0.8,1.6,20.3,2.8,1.4,69,300,4.6,2,96,0,0.1,,529,0,0.01,0.34,1.6,0,
NR003,"Asan kandis, kering",KZGPI- 1990,32.2,261,0.9,1.6,63.3,5,2,192,657,4.4,26,341,0.4,0.3,,0,0,0,0,0.4,0,100
NR004,"Asam kandis, segar",KZGPI- 1990,81.5,75,0.2,1.1,16.1,3.4,1.1,63,139,2.5,93,93,0.1,0.1,,41,0,0.01,0,0.1,0,
NR005,"Asam masak pohon,
segar",DABM-1964,31.4,267,2.8,0.6,62.5,1.2,2.7,74,113,0.6,9,139,0.09,0.1,,9,30,0.34,0.04,0.7,2,48
NR006,"Asam payak, segar",KZGPI- 1990,65.1,135,0.8,0.4,32.1,10,1.6,60,39,5.7,0,,,,,,0,0,,,0,
NR007,"Bawang merah, segar",DABM-1964,88,46,1.5,0.3,9.2,1.7,1,36,40,0.8,7,179,0.06,0.2,,2,,0.03,0.04,0.2,2,90
NR008,"Bawang putih, segar",DABM-1964,71,112,4.5,0.2,23.1,0.6,1.8,42,134,1,46,666,0.09,0.4,,0,,0.22,0.07,0.3,15,88
NR009,"Boros kunci, segar",DABM-1964,90,40,1,0.8,7.2,1,1,50,50,2,33,480,0.02,0.3,,0,5000,0.08,0.68,1.7,50,80
NR010,"Boros laja (lengkuas),
segar",DABM-1964,93,26,1,0.3,4.7,1.1,1,50,50,2,24,137,0.07,0.3,,5,5000,0.08,0.06,0.3,50,80
NR011,"Cabai gembor merah,
segar",KZGPI- 1990,90.8,38,1.6,0.8,6.3,1.6,0.6,49,41,1.1,7,275,0.12,0.2,,5897,3240,0.21,0.12,0,16,89
NR012,"Cabai hijau, segar",DABM-1964,93.4,26,0.7,0.3,5.2,2.6,0.4,14,23,0.4,7,151,0.08,0.2,,44,260,0.05,0.06,0.4,84,82
NR013,"Cabai merah, kering",DABM-1964,10,367,15.9,6.2,61.8,26.9,6.1,160,370,2.3,25,181.5,1.2,1.8,,"1095
5",576,0.4,1.36,4.4,50,85
NR014,"Cabai merah, segar",DABM-1964,90.9,36,1,0.3,7.3,1.4,0.5,29,24,0.5,23,272.4,0.12,0.2,,5833,470,0.05,0.09,3,18,85
NR015,"Cabai rawit, segar",DABM-1964,71.2,120,4.7,2.4,19.9,15.2,1.8,45,85,2.5,34,706.2,0.29,0.6,,1694,"1105
0",0.24,0.09,1.7,70,85
NR016,"Cengkeh, kering",DABM-1964,23.3,330,5.2,8.9,57.4,10,5.2,740,100,4.9,282,961,0.3,0,,265,,"200.
00",0,0,,100
NR017,"Daun salam,  bubuk",FCTEA-1972,13.1,301,14.2,10.9,49,9.4,12.8,86,250,44.1,180,619,1.31,0.7,0,5400,,0.1,0.32,5,0,100
NR018,"Jahe, segar",DABM-1964,55,51,1.5,1,10.1,12,1.2,21,39,1.6,12,441.7,0.48,0.7,,0,9,0.02,0.17,3.3,4,97
NR019,Kemiri,DABM-1964,7,675,19,63,8,3,3,80,200,2,25,430.7,0.23,0.8,,0,0,0.06,0.06,0.4,0,100
NR020,"Ketumbar, kering",DABM-1964,11.2,418,14.1,16.1,54.2,12.3,4.4,630,370,17.9,91,1787,0.95,4.6,,75,1570,0.2,0.35,1.8,0,100
NR021,Kluwek,DABM-1964,51,310,10,24,13.5,,1.5,40,100,2,,,,,,,0,0.15,,,30,80
NR022,"Kunyit, segar",DABM-1964,84.9,69,2,2.7,9.1,0.6,1.3,24,78,3.3,6,406.7,0.05,0.4,,12,,0.03,0.02,0.4,1,78
NR023,"Merica, kering",DABM-1964,12.9,365,11.5,6.8,64.4,1,4.4,460,200,16.4,4,99.7,0.89,1.1,,0,,0.2,0.1,2.5,,100
NR024,"Pala, biji, kering",DABM-1964,14.3,518,7.5,36.4,40.1,3.5,1.7,120,240,4.6,2,78.7,0.94,2,,7,,0.2,0.02,0.5,0,95
OLAHAN/PRODUK/KOMPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
NP001,Balichong,KZGMI-2001,59.9,152,13.2,0.8,22.9,1.5,3.6,380,210,2.9,120,310,0.8,1.1,34,0,,0.01,0.08,0.2,,
NP002,Bekasam,KZGMI-2001,65.5,116,11.9,4.9,6.1,3.5,11.6,704,757,7.5,711,176,0.8,1.9,,0,,0,0.03,2.1,,
NP003,Bekasang,KZGMI-2001,67.1,78,11.4,2,3.6,0.4,15.9,54,97,2.6,4016,121,0.2,4.8,,,,0.15,0.12,0.6,,
NP004,Cuka,DABM-1964,94.5,21,0.1,0.1,5,0,0.3,7,10,0.5,21,37.8,0,0,,0,,0.24,0,0.7,,100
NP005,Kecap,DABM-1964,63,71,5.7,1.3,9,0,21,123,96,5.7,1114,,0.04,,0,,,0,,,0,100
NP006,Petis ikan,DABM-1964,56,165,20,0.2,20.8,,3,37,36,2.8,,,,,,,0,0.01,0.2,0.8,0,100
NP007,Petis udang kering,KZGPI- 1990,8.3,345,23.8,1.4,59.3,0,7.1,221,397,3.8,"1199
8",462.8,0.75,1.9,,0,232,1.02,0.4,2.2,0,100
NP008,Petis udang pasta,DABM-1964,39,220,15,0.9,38,2.3,7.1,37,36,2.8,7981,307.9,0.5,1.3,,0,0,0.01,0.13,1.7,0,100
NP009,Saos tomat,DABM-1964,69.5,110,2,0.4,24.5,0.9,3.6,12,18,0.8,890,129.6,0.18,0.3,,357,570,0.09,0.06,1.7,11,100
NP010,Tempoya,KZGMI-2001,70.1,110,1.7,1.3,21.9,2.6,5,190,45,2.9,597,486.3,,,,71,,0.3,0.04,1.1,0,100
NP011,Terasi,KZGPI- 1990,33.8,155,22.3,2.9,9.9,2.7,31.1,3812,726,78.5,1664,821.4,0.99,2.4,,0,0,0.24,0,3.3,0,100
NP012,Terasi dobo,KZGMI-2001,58.4,191,33.1,3.6,6.6,1.6,11.5,2250,1130,22.9,650,1260,2.9,5,,0,,3.74,0.22,2,,100
NP013,Terasi merah,DABM-1964,40,174,30,3.5,5.6,2.2,20.4,100,150,3.1,7850,302.8,0.49,1.2,,0,0,0,0.12,1.7,0,100
