KODE,NAMA BAHAN,SUMBER,AIR (g),ENERGI (Kal),PROTEIN (g),LEMAK (g),KH (g),SERAT (g),ABU (g),KALSIUM (mg),FOSFOR (mg),BESI (mg),NATRIUM (mg),KALIUM (mg),TEMBAGA(mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR -TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT_C (mg),
TUNGGAL/SINGLE,,,,,,,,,,,,,,,,,,,,,,,,
FR001,"Anak sapi, daging,
gemuk, segar",DABM-1964,62,184,18.8,14,0,0,5.2,10,200,2.2,118,490.1,0.17,3.3,12,37,,0.13,0.17,7,,100
FR002,"Anak sapi, daging,
kurus, segar",DABM-1964,69,174,19.6,10,0,0,1.4,11,201,2.9,96,399.8,0.14,2.7,6,30,,0.08,0.14,5.7,0,100
FR003,"Anak sapi, daging,
sedang, segar",DABM-1964,68,190,19.1,12,0,0,0.9,11,193,2.9,99,412.7,0.14,2.8,12,83,,0.14,0.15,5.9,0,100
FR004,"Angsa, daging, segar",DABM-1964,51.1,349,16.4,31.5,0,0,1,15,188,1.8,71,299.2,0.26,1.7,273,0,,0.1,0.24,7.11,0,60
FR005,"Ayam, daging, segar",DABM-1964,55.9,298,18.2,25,0,0,0.9,14,200,1.5,109,385.9,0.11,0.6,245,0,,0.08,0.14,10.4,0,58
FR006,"Ayam, dideh/darah,
segar",DABM-1964,82,75,13.8,1.9,0.7,0,1.6,15,9,1.3,337,234,,,15,,,0.02,,0.6,0,100
FR007,"Ayam, hati, segar","KZGMS-
1993",53.4,261,27.4,16.1,1.6,0,1.5,118,373,15.8,1068,22.9,0.84,0,4957,169,28000,0.64,4.38,4.11,0,100
FR008,"Babi, daging,
gemuk,segar",DABM-1964,42,453,11.9,45,0,0,1.1,7,117,1.8,112,819.3,0.22,0.4,0,0,,0.58,0.59,5.9,0,100
FR009,"Babi, daging, kurus,
segar",DABM-1964,50,371,14.1,35,0,0,0.9,8,151,2.1,97,706.3,0.19,0.4,0,0,,0.67,0.33,5.4,0,100
FR010,"Babi, ginjal, segar",DABM-1964,77.1,110,16.3,4.6,0.8,0,1.2,11,246,8,139,390,0.71,3.2,39,10,,0.58,1.59,9.1,13,100
FR011,"Babi, hati, segar",DABM-1964,72.3,129,19.7,4.8,1.7,0,1.5,10,362,18,110,447,0.58,0.1,4303,6,,0.4,1.16,5.7,23,100
FR012,"Bebek (itik), daging,
segar",DABM-1964,54.3,321,16,28.6,0,0,1.1,15,188,1.8,54,199,0.21,1.2,273,0,,0.1,0.28,4.3,0,60
FR013,"Bebek alabio, daging,
segar",KZGMI-2001,57,303,11.3,27,3.7,0,1,20,293,4.8,50,260,0.7,2,,0,,0.36,0.04,4.1,,100
FR014,"Belibis, daging, segar",KZGMI-2001,71.3,131,20.2,4.3,2.8,0,1.4,8,192,9.6,46,104,1.2,1.6,,0,,0.37,0.08,2.7,,100
FR015,"Burung, sarang, segar",DABM-1964,24.8,281,37.5,0.3,32.1,,5.3,485,18,3,,,,,0,,,,,,0,100
FR016,"Domba, daging,
gemuk, segar",DABM-1964,55.8,317,15.7,27.7,0,0,0.8,9,157,2.4,64,242.1,0.11,3.7,0,0,,0.14,0.23,6.5,0,100
FR017,"Domba, daging, kurus,
segar",DABM-1964,66.3,202,17.1,14.8,0,0,1.8,10,191,2.6,90,355,0.08,2.8,0,0,,0.15,0.26,5.7,0,100
FR018,"Domba, ginjal, segar",DABM-1964,77.8,100,16.6,3.3,1,0,1.3,13,237,9.2,155,276,0.48,2.4,348,515,,0.51,2.35,7.5,13,100
FR019,"Kambing, daging,
segar",DABM-1964,70.3,149,16.6,9.2,0,0,3.9,11,124,1,96,268.7,0.31,4.9,0,0,,0.09,0.23,5,0,100
FR020,"Kelinci, daging, segar",FCTEA-1972,74.3,142,16.9,7.8,0,0,1,7,350,1,49,371.1,,,0,0,0,0.11,0.11,6.8,,100
FR021,"Kerbau, daging, segar",DABM-1964,80,79,18.7,0.5,0,0,0.8,14,221,3.3,91,273,0.13,1.6,,,,0.06,0.17,5,0,100
FR022,"Kuda, daging, segar",DABM-1964,76,113,18.1,4.1,0.9,0,0.9,10,150,2.7,46,315.7,0.13,2.5,0,,,0.07,0.07,3,0,100
FR023,"Sapi, babat, segar",DABM-1964,76.7,108,17.6,4.2,0,0,1.5,12,144,1,147,101.4,0.11,2.2,0,49,,0.15,0.17,1.7,0,100
FR024,"Sapi, daging, gemuk,
segar",DABM-1964,60,273,17.5,22,0,0,0.5,10,150,2.6,93,267,0.17,6.4,12,0,,0.08,0.18,7.3,0,100
FR025,"Sapi, daging, kurus,
segar",DABM-1964,69,174,19.6,10,0,0,1.4,11,181,2.9,83,489,0.07,4.9,6,181,,0.07,0.51,1.2,0,100
FR026,"Sapi, daging, lemak
sedang, segar",DABM-1964,66,201,18.8,14,0,0,1.2,11,170,2.8,105,378,4.58,5.2,9,198,,0.08,0.56,1.3,0,100
FR027,"Sapi, daleman, segar",KZGMI-2001,70.1,183,12,14.4,1.4,0,2.1,43,319,1.8,277,160,0.1,0.8,,104,,0.31,0.22,8.4,,100
FR028,"Sapi, dideh/darah",DABM-1964,75.6,98,21.9,1.1,0,0,1.4,7,24,1.3,150,170,,0.2,15,214,,0.01,0.03,0.9,0,100
FR029,"Sapi, ginjal, segar",DABM-1964,74.9,137,15,8.1,0.9,0,1.1,9,221,7.9,200,230.2,,,348,583,,0.37,1.22,6.1,13,100
