,KODE,NAMA BAHAN,SUMBER,Food Group,Type,AIR (g),ENERGI (Kal),PROTEIN (g),LEMAK (g),KH (g),SERAT (g),ABU (g),KALSIUM (mg),FOSFOR (mg),BESI (mg),NATRIUM (mg),KALIUM (mg),TEMBAGA(mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR -TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT_C (mg),Unnamed: 24
0,TUNGGAL/SINGLE,,,biji bijian,single,,,,,,,,,,,,,,,,,,,,,,
1,CR001,"Kacang arab, kering",DABM-1964,biji bijian,single,11.6,330,23.8,1.4,60.2,17.4,3,57,388,4.7,24,874.3,0.85,3.4,,40,140,0.77,0.21,1.5,2,100
2,CR002,"Kacang babi, kering",KZGPI-1990,biji bijian,single,11.6,341,30.4,3.2,51.3,4.5,3.5,178,521,6.8,13,1768,0.82,3.1,,,87,0.23,0.33,2.8,,80
3,CR003,"Kacang belimbing
(kecipir), kering",KZGPI-1990,biji bijian,single,10.4,400,34.4,16.9,34.1,10.7,4.2,468,182,6.8,37,955,2.82,2,,,,0.3,0.44,3,,100
5,CR005,"Kacang bogor, kering",DABM-1964,biji bijian,single,10,370,16,6,65,26.3,3,85,264,4.2,44,868.8,1.48,2.7,0,,,0.18,0.26,6.2,0,100
6,CR006,"Kacang bogor, segar",KZGPI-1990,biji bijian,single,60.8,165,7.7,3.1,27.4,2.5,1,96,126,5.3,6,537,0.41,1.2,,29,,0.32,0.35,2.7,,100
7,CR007,"Kacang endel, biji,
kering",DABM-1964,biji bijian,single,14,331,25,1,58,23.6,2,80,400,5,12,1322.4,0.68,2.7,0,,,0.3,0.75,2.3,,95
8,CR008,"Kacang ercis, segar",KZGMI-2001,biji bijian,single,67.6,129,12.4,0.7,18.3,28.6,1,40,130,2.3,4,310,0.3,2.1,,212,,0.29,0.05,2.7,,45
9,CR009,"kacang galing, segar",DABM-1964,biji bijian,single,12,336,23.1,1.7,59.5,,3.8,80,400,5,,,,,0,,,0.6,,,0,95
10,CR010,"Kacang gude, biji,
kering",KZGPI-1990,biji bijian,single,16.1,316,20.7,1,58,4.6,4.2,146,445,4.7,16,1306.2,0.99,2.7,,19,,0.3,0.19,2.4,,100
11,CR011,"Kacang gude, biji,
segar",DABM-1964,biji bijian,single,70.3,114,7,0.6,20.8,4.4,2.3,3,122,1.5,4,480.5,0.12,0.9,,,70,0.37,0.07,0.8,43,100
12,CR012,"Kacang hijau var,
bakti, kering",KZGPI-1990,biji bijian,single,7.4,350,17.1,1.8,70.7,5.7,3.1,94,315,4.9,46,893.9,1.52,3.1,,171,235,0.4,0.27,2.6,11,100
13,CR013,"Kacang hijau var,
siwalik, kering",KZGPI-1990,biji bijian,single,8.8,339,20.8,2.1,64.6,7.4,3.7,122,136,4.9,45,880.4,1.5,3.1,,168,321,0.45,0.27,2.6,,100
