KODE,NAMA BAHAN,SUMBER,AIR (g),ENERGI (Kal),PROTEIN (g),LEMAK (g),KH (g),SERAT (g),ABU (g),KALSIUM (mg),FOSFOR (mg),BESI (mg),NATRIUM (mg),KALIUM (mg),TEMBAGA(mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR -TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT_C (mg),
TUNGGAL/SINGLE,,,,,,,,,,,,,,,,,,,,,,,,
KR001,"Kelapa setengah tua,
daging, segar",DABM-1964,70,180,4,15,10,2.4,1,8,55,1.3,4,317.7,0.3,2.9,,0,10,0.1,0.01,0.1,4,53
KR002,"Kelapa tua, daging,
segar",DABM-1964,46.9,359,3.4,34.7,14,4.7,1,21,98,2,3,293.9,0.4,1.1,0,0,,0.1,0,0,2,53
KR003,Lemak babi (lard),DABM-1964,0,902,0,100,0,0,0,0,0,0,0,0,9,0.1,0,0,,0,0,0,0,100
KR004,Lemak babi (bacon),DABM-1964,20,626,9.1,65,1.1,0,4.8,13,108,0.8,0,0,0,0.9,0,0,,0.4,0,0,0,100
KR005,Lemak ikan,KZGMI-2001,43.3,372,12,29.4,14.4,0,0.3,20,230,32.7,60,52,0.4,1.1,,,,0.5,0.13,,,100
KR006,"Lemak kerbau (lemak
sapi)",DABM-1964,5,818,1.5,90,0,0,3.5,0,0,0,29,25.8,0,0,0,283,,0,0,0.7,0,100
KR007,"Minyak hiu, hati",DABM-1964,0,902,0,100,0,0,0,0,0,0,0,0,0,0,21212,0,,0,0,0,0,100
KR008,Minyak ikan,DABM-1964,0,902,0,100,0,0,0,0,0,0,0,0,0,0,24242,0,,0,0,0,0,100
KR009,Minyak kacang tanah,DABM-1964,0,902,0,100,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,100
KR010,Minyak kedelai,FCTEA-1972,0.1,883,0,99.9,0,0,0,0,0,0,0,0.1,0,0,0,0,,0,0,0,0,100
KR011,Minyak kelapa,DABM-1964,0,870,1,98,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,100
KR012,Minyak kelapa sawit,DABM-1964,0,884,0,100,0,0,0,0,0,0,0,0,0,0,,18181,,0,0,0,0,100
KR013,Minyak wijen,FCTEA-1972,0.1,881,0.2,99.7,0,0,0,10,5,0.1,2,20,0,0,0,0,,0,0.07,0.1,0,100
KR014,Minyak zaitun,DABM- 1964,0,884,0,100,0,0,0,14,0,1.2,7,0,0,0,,0,,0,0,5,,100
OLAHAN/PRODUK/KOMPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
KP001,Margarin,DABM-1964,15.5,720,0.6,81,0.4,0,2.5,20,16,0,760,25.9,0,0,606,633,,0,0,0,0,100
KP002,Mentega,DABM- 1964,16,742,0.5,81.6,1.4,0,1.9,15,16,1.1,653,103,0,0.4,1000,155,,0,0.1,0,,100
KP003,Santan (dengan air),DABM-1964,80,122,2,10,7.6,1.4,0.4,25,30,0.1,9,162.4,0.2,0.4,0,,,0,0,0.5,2,100
KP004,Santan murni,DABM-1964,54.9,324,4.2,34.3,5.6,0,1,14,45,1.9,18,514.1,0.4,0.9,0,0,,0,0,0.5,2,100
