KODE,NAMA BAHAN,SUMBER,AIR (g),ENERGI (Kal),PROTEIN (g),LEMAK (g),KH (g),SERAT (g),ABU (g),KALSIUM (mg),FOSFOR (mg),BESI (mg),NATRIUM (mg),KALIUM (mg),TEMBAGA(mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR -TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT_C (mg),
MP001,"Coklat manis, batang",DABM- 1964,1.4,527,2,29.8,62.7,6.5,4.1,63,287,2.8,6,499.5,0,0,,,30,0.03,0.02,0,0,100
MP002,"Coklat pahit,batang",DABM- 1964,2.3,615,5.5,42.6,29.2,10.8,10.1,98,446,4.4,20,708.3,1.7,3.3,,2,60,0.05,0.08,1,0,100
MP003,"Coklat susu, batang",DABM- 1964,1,565,9,35,53.6,3.4,1.4,200,200,2,100,405.5,0.49,2.3,,54,30,0.08,0.45,0.5,0,100
MP004,Coklat bubuk,DABM- 1964,3.9,311,8,4,48.9,32.6,15.4,125,715,11.6,,,,,,,30,0.12,,0.6,,
MP005,Gula aren,DABM- 1964,7,368,0,0,92,0,1,75,35,3,15,390.4,0.04,"26.
4",0,0,,0,0.01,0.5,0,100
MP006,Gula kelapa,DABM- 1964,10,386,3,10,76,0,1,76,37,2.6,2,0,0,0,0,0,,0,0.34,0.5,0,100
MP007,Gula putih,DABM- 1964,5.4,394,0,0,94,0,0.6,5,1,0.1,1,4.75,0,0,0,0,,0,0,0,0,100
MP008,"Jam, selai",DABM- 1964,34,239,0.5,0.6,64.5,1,0.4,20,20,1,30,73.1,0.09,0,0,0,,0.01,0.07,0,0,100
MP009,Kopi bubuk instant,FCTEA-1972,2.6,129,12.3,0.5,35,0,9.7,179,383,5.6,72,3256,0.14,0,,0,0,0,0.21,"30.
6",0,100
MP010,Madu,DABM- 1964,20,294,0.3,0,79.5,0.2,0.2,5,16,0.9,6,26.9,0.04,0.2,0,0,,0,0.04,0.1,4,100
MP011,Markisa squash,KZGMI-2001,46.7,217,2.5,1,49.6,,0.2,6,83,0.6,14,65,0,0.1,,23,75,0.07,0.02,0,14,
MP012,"Markisa squash, BD",KZGMI-2001,74.4,104,1.2,0.5,23.7,,0.2,1,88,0.5,40,40,0,0.1,,7,40,0.2,0.02,0,12,
MP013,Melase,DABM- 1964,21.2,276,,0.1,71,0,7.7,6,83,0.6,14,,0,0.3,0,0,,0.04,,,0,100
MP014,Sirup,DABM- 1964,44,213,0,0,55,0,1,0,0,0,3,4.2,,,,0,,0,0,0,,100
MP015,Sirup pirous,KZGMI-2001,43.3,228,0.2,0.4,55.9,0,0.2,470,93,29.5,3,4.2,,,,0,0,0,0,0,8,
MP016,Teh hijau daun kering,FCTEA-1972,7.7,300,28.3,4.8,53.6,9.6,5.6,245,415,18.9,60,5873.9,0.5,0,,8400,,0.38,1.24,4.6,"23
0",100
MP017,Teh hitam daun kering,FCTEA-1972,8,293,24.5,2.8,58.8,8.7,5.9,327,313,24.3,50,5854.8,0,0,0,2700,,0.07,0.8,7.6,9,100
MP018,"Teh melati daun
kering",FCTEA-1972,8.1,299,24.1,3.5,59,9.7,5.3,320,185,31.6,70,5848.4,0.53,0,0,8400,,0.07,0.79,7.3,85,100
