KODE,NAMA BAHAN,SUMBER,AIR (g),ENERGI (Kal),PROTEIN (g),LEMAK (g),KH (g),SERAT (g),ABU (g),KALSIUM (mg),FOSFOR (mg),BESI (mg),NATRIUM (mg),KALIUM (mg),TEMBAGA(mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR -TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT_C (mg),
TUNGGAL/SINGLE,,,,,,,,,,,,,,,,,,,,,,,,
GR001,"Belut, segar",KZGMI-2001,81.5,70,14.6,0.8,1,0,2.1,49,155,1.5,55,169,0.2,1.2,,0,,0.22,0.12,7.7,,
GR002,"Belut,laut, segar",KZGPI- 1990,79.5,93,12.8,1.5,6.1,0,4.1,60,199,3,33,175.9,0.1,1,51,3,71,0.06,0,2.7,,
GR003,"Cumi-cumi, segar",KZGPI- 1990,82.2,75,16.1,0.7,0.1,0,0.9,32,200,1.8,37,204.1,1.6,1.3,0,20,0,0.08,0,2.5,0,
GR004,"Ikan bader, segar",DABM- 1964,66,193,19,13,0,0,2,48,150,0.4,118,264.9,0.1,0.2,45,0,,0.01,0.1,4.1,0,
GR005,"Ikan balong, segar",KZGPI- 1990,76.5,107,16.5,3.9,1.5,0,1.5,54,202,2,86,253.4,0.5,1,25,0,0,0.05,0.1,2.5,0,
GR006,"Ikan bambangan,
segar",KZGPI- 1990,73.7,112,20,1.3,3.7,0,1.3,98,120,3,148,258.7,0,0.1,0,0,0,0.07,0,0.3,0,
GR007,"Ikan bandeng, segar",DABM- 1964,74,123,20,4.8,0,0,1.2,20,150,2,67,271.1,0,0.9,45,21,,0.05,0.1,6,0,
GR008,"Ikan banjar, segar",KZGPI- 1990,73.5,111,19.4,0.9,4.8,0,1.4,68,278,7.3,99,338.7,0.2,0.6,0,62,0,0.03,0.2,7.3,0,
GR009,"Ikan baronang, segar",KZGMI-2001,80,78,14.5,0.6,3.7,0,1.2,26,521,3.8,26,692,4.7,4.1,732,0,,0.2,0.04,3,0,
GR010,"Ikan batung, segar",KZGMI-2001,75.7,115,14.5,4.6,4.2,0,1.1,,207,0,42,361,0.2,0.9,,0,,1.2,0.04,1.1,,
GR011,"Ikan baung, segar",KZGMI-2001,74.9,123,15.1,5.5,3.3,0,1.2,5,146,1.3,32,349,0.1,0.7,,0,,0.2,0.03,1.2,,
GR012,"Ikan bawal, segar",DABM- 1964,78,91,19,1.7,0,0,1.3,20,150,2,129,233.3,0.1,0.3,45,0,,0.05,0.1,1.8,0,
GR013,"Ikan Belida, segar",KZGMI-2001,79.2,80,14.7,1.4,2.2,0,2.3,303,315,1.3,41,356,0,0.8,,0,,1.2,0.14,1.4,,
GR014,"Ikan beunteur, segar",DABM- 1964,70,109,17,4,0,0,9,500,500,1,109,323.5,0.6,1.3,45,,,0.05,0.1,2.6,0,
GR015,"Ikan biawan, segar",KZGMI-2001,79.1,90,14.9,2.5,2.1,0,1.4,125,265,1,35,207,0.4,0.6,,,,0.36,0.03,2.9,,
GR016,"Ikan bili, segar",KZGMI-2001,68.3,88,14.2,0.7,6.2,0,10.6,27,1760,1.5,217,202,0,4.1,,0,,0.72,0.09,2.7,,
GR017,"Ikan bubara, segar",KZGMI-2001,75.5,100,14.7,2.4,4.9,,1.6,90,90,0.4,390,390,0.7,0.8,,,,,,,,
GR018,"Ikan bulan-bulan,
segar",KZGMI-2001,66.7,134,25.5,1.3,5,,1.5,29,29,0.5,197,489,0.1,0.5,,,,0.3,0.02,0.8,,
GR019,"Ikan cakalang, segar",KZGMI-2001,73,107,19.6,0.7,5.5,0,1.2,23,242,2.9,66,239,0.2,0.6,386,0,,0.17,0.05,21.7,0,
GR020,"Ikan cakalang, hati,
segar",KZGMI-2001,73.4,120,11.3,3.9,10,,1.4,30,30,0.9,420,280,1.6,4.3,,,,,,0.2,,
GR021,"Ikan cakalang,
jantung, segar",KZGMI-2001,76.3,116,11.2,1.2,10.2,,1.1,10,40,3.4,360,250,0.5,1.9,908,,,,,0.1,0,
GR022,"Ikan cakalang, perut,
segar",KZGMI-2001,79.1,86,10.2,1.1,8.7,,0.9,20,110,2.1,230,210,0.3,9.3,,,,0.24,,0.3,,
GR023,"Ikan daun, segar",KZGMI-2001,78.6,101,11.5,4.1,4.6,0,1.2,80,210,0.8,120,270,0.1,0.9,0,,,0.08,0.07,0.1,0,
GR024,"Ikan ekor kuning,
segar",KZGMI-2001,74.1,108,22.3,1.2,2.1,0,0.3,30,220,0.5,50,230,0.1,0.6,40,29,,0,0.1,0.2,,
GR025,"Ikan gabus, segar",KZGMI-2001,79.6,80,16.2,0.5,2.6,0,1.1,170,139,0.1,65,254,0.3,0.4,335,,,0.4,0.2,0.1,,
GR026,"Ikan heu, segar",KZGMI-2001,75.6,81,10,1.6,6.6,,6.2,1910,990,2.1,240,210,0.1,2.7,,,,0.87,,0.2,,
GR027,"Ikan hitam, segar",KZGMI-2001,78.2,101,10.3,3.7,6.7,0,1.1,50,140,0.4,70,210,,0.4,67,,,0,0.1,0.1,,
GR028,"Ikan hiu, segar",KZGPI- 1990,85.7,57,10.7,0.3,2.2,0,1.1,75,206,2,,,0.02,,,,0,0.05,,,0,
GR029,"Ikan kacangan, segar",KZGPI- 1990,80.7,77,15.6,0.9,1.6,0,1.2,94,170,1.7,,,,,18,,0,0.07,,,0,
GR030,"Ikan kakap, segar",DABM- 1964,77,92,20,0.7,0,0,2.3,20,200,1,,,,,9,,,0.05,,,0,
GR031,"Ikan kakatua, segar",KZGMI-2001,79.7,82,11.4,1.2,6.4,,1.3,20,160,0.4,90,300,0.1,0.3,18,,,,,0.2,,
GR032,"Ikan kalaban, segar",KZGMI-2001,80.3,77,16.4,0.7,1.3,0,1.3,182,248,0.9,40,334,0.7,0.8,,,,0.16,0.15,1.9,,
GR033,"Ikan kamera (kakap
merah), segar",KZGMI-2001,78.5,86,19.7,0.8,0,0,1.3,50,170,0.3,90,290,0.3,0.1,26,,,,0.08,0.1,,
GR034,"Ikan kapar, segar",KZGMI-2001,74.2,132,17,6.7,0.8,0,1.3,151,272,1.2,78,229,0.9,0.7,,,,0.07,0.03,,,
GR035,"Ikan kawalinya, segar",KZGMI-2001,76.1,110,12.6,4.2,5.4,,1.7,80,300,1.5,340,300,0.2,1.4,146,,,,,0.2,,
GR036,"Ikan keru-keru, segar",KZGPI- 1990,77.2,93,16.5,2.1,0.8,0,3.4,65,217,2.4,137,255.3,0.34,0.7,0,,0,0.01,0.09,1.6,0,55
GR037,"Ikan kima, segar",KZGMI-2001,82.1,70,10.8,0.7,5.2,,1.2,53,72,2,342,101,0.5,0.5,401,,,0.22,0.05,5.8,,
GR038,"Ikan lais, segar",KZGPI- 1990,65,161,11.9,11.5,2.4,0,9.2,70,237,0,,,,,0,,0,0.05,,,0,62
GR039,"Ikan layang, segar",DABM- 1964,74,109,22,1.7,0,0,2.3,50,150,2,,,,,45,0,,0.05,,,0,80
GR040,"Ikan layur, segar",KZGPI- 1990,80.1,82,18,1,0.4,0,0.5,48,229,2.2,,,,,4,,0,0.04,,,0,49
GR041,"Ikan lehoma, segar",KZGMI-2001,77.6,90,20.4,0.9,0,,1.1,88,270,0.7,56,281,0.3,0.9,1047,,,0.32,0.03,0.2,,
GR042,"Ikan lemuru, segar",DABM- 1964,76,112,20,3,0,0,1,20,100,1,,,,,30,0,,0.05,,,0,80
GR043,"Ikan lidah, segar",KZGPI- 1990,78.3,104,15.6,3.2,2,0,0.9,30,143,2,,,,,33,,0,0.03,,,0,
GR044,"Ikan malalugis, segar",KZGMI-2001,75.6,99,20.6,1.4,0.9,,1.5,164,330,0.5,76,282,0.2,0.9,661,,,0.3,0.02,0.5,,
GR045,"Ikan mamar merah,
segar",KZGMI-2001,75,115,15.3,4,4.4,0,1.3,60,190,1.6,120,240,0.2,1,,,,0.2,0.1,0.1,,
GR046,"Ikan mas, segar",DABM- 1964,80,86,16,2,0,0,2,20,150,2,65,276.7,0.1,1.1,45,8,,0.05,0.1,2.6,0,80
GR047,"Ikan mayong, segar",KZGPI- 1990,78.2,97,17.9,2,0.4,0,1.5,40,100,2.5,,,,,21,,0,0.1,,,0,89
GR048,"Ikan mujahir, segar",KZGPI- 1990,79.7,89,18.7,1,0,0,1.1,96,209,1.5,51,265.8,0,0.2,6,3,5,0.03,0.1,2,0,80
GR049,"Ikan nasu metti, segar",KZGMI-2001,65.3,154,16.8,5,10.5,,2.4,80,244,1.6,421,488,0.2,1.2,,,,0.47,0.15,9.6,,
GR050,"Ikan oci, kembung,
segar",KZGMI-2001,71.4,125,21.3,3.4,2.2,,1.7,136,69,0.8,214,245,0.2,1.1,,,,0.26,0.03,0.2,,80
GR051,"Ikan paling, segar",DABM- 1964,58,303,14,27,0,0,1,20,200,1,43,,,,485,0,,0.1,,,2,100
