KODE,NAMA BAHAN,SUMBER,AIR (g),ENERGI (Kal),PROTEIN (g),LEMAK (g),KH (g),SERAT (g),ABU (g),KALSIUM (mg),FOSFOR (mg),BESI (mg),NATRIUM (mg),KALIUM (mg),TEMBAGA(mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR -TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT_C (mg),
TUNGGAL/SINGLE,,,,,,,,,,,,,,,,,,,,,,,,
DR001,"Akar tonjong, segar",KZGPI-1990,86.7,45,1.1,0.4,10.8,1.2,1,72,125,1.3,96,1147.1,0.02,0.2,0,83,90,0.02,0.03,1.9,2,100
DR002,"Ale,toge, segar",KZGPI-1990,90.6,37,4.4,0.5,3.8,1.7,0.7,50,248,2,2,105,0.16,0.4,0,0,35,0.02,0.09,0.6,46,90
DR003,"Andaliman, segar",KZGPI-1990,74.2,99,4.6,1,18,8.5,2.2,383,107,2.9,,,,,0,,6300,3,,,15,100
DR004,"Andewi, segar",DABM-1964,91.8,226,1.6,0.2,5.3,4.1,1.1,33,66,1,29,414.6,0.13,1,,1717,,0.14,0.09,0.5,10,80
DR005,"Bakung, segar",KZGMI-2001,92.5,27,2,0.2,4.2,3.8,1.1,19,20,0.5,37,340,0.2,0.3,,1080,,0.2,0.1,0.3,42,100
DR006,"Baligo, segar",DABM-1964,96.1,15,0.4,0.2,3,0.4,0.3,19,19,0.4,2,131.1,0.02,0.6,,0,,0.04,0.02,0.3,13,69
DR007,"Bawang bombay,
segar",DABM-1964,87.5,43,1.4,0.2,10.3,2,0.6,32,44,0.5,12,9.6,0.1,0.3,,788,50,0.03,0.21,0.4,9,94
DR008,"Bayam, segar",KZGPI-1990,94.5,16,0.9,0.4,2.9,0.7,1.3,166,76,3.5,16,456.4,0.13,0.4,,2699,2293,0.04,0.1,1,41,71
DR009,"Bayam merah, segar",KZGMI-2001,88.5,41,2.2,0.8,6.3,2.2,2.2,520,80,7,20,60,0.2,0.8,0,7325,,0.2,0.1,0.1,62,71
DR010,"Bit, segar",DABM-1964,87.6,41,1.6,0.1,9.6,2.6,1.1,27,43,1,29,404.9,0.2,0.7,,0,20,0.02,0.05,0.3,10,75
DR011,Buah kelor,KZGMI-2001,89.5,38,1.5,0.2,7.5,3.2,1.3,30,54,0,48,216,0,0.2,,31,,0.1,0.1,4.1,25,65
DR012,Buah merah,KZGMI-2001,81.2,87,2.6,2.7,13.1,4,0.4,30,1,1.1,110,140,0.1,0.3,0,0,,1.5,0.1,0.2,15,100
DR013,"Buncis, segar",KZGPI-1990,89.6,34,2.4,0.3,7.2,1.9,0.5,101,42,0.7,8,250,0.07,0.3,0,772,550,0.05,0.4,2.8,11,90
DR014,"Bunga pepaya, segar",KZGPI-1990,87.3,45,2.6,0.3,8.1,1.6,1.7,290,113,4.2,2,478.3,0.08,0.8,,2792,5,0.01,0.28,1,23,100
DR015,"Bunga turi, segar",BKP,90.4,42,2,1.1,6.1,3.3,0.4,28,23,0.8,29,97.4,0.1,0.6,,1200,0,0.5,0.02,0.4,1,96.1
DR016,"Caisin, segar",KZGPI-1990,93.6,20,1.7,0.4,3.4,1.2,0.9,123,40,1.9,18,358.2,0.05,1.4,,1675,4188,0.04,0.19,0.6,3,100
DR017,"Daun bangun-bangun,
segar",KZGPI-1990,92.5,27,1.3,0.6,4,1,1.6,279,40,13.6,4,144,,,,1489,13288,0.16,0.1,0,5,66
DR018,"Daun bawang  merah,
segar",KZGMI-2001,89.1,41,2,0.3,7.8,2.1,0.8,60,40,2.3,30,90,0.1,0.3,0,218,,0.1,0.1,0.2,11,67
DR019,"Daun bebuas, segar",KZGPI-1990,87.9,41,2.7,1,7.3,2.1,1.1,29,245,1.5,,,,,0,,3099,0.01,,,3,49
DR020,"Daun belem, segar",KZGPI-1990,84.6,50,4.4,1.4,7.8,1.9,1.8,698,151,7.5,,,,,0,,13072,0.05,,,21,81
DR021,"Daun bluntas, segar",DABM-1964,86,44,1.8,0.5,9.4,,2.3,256,49,5.6,,,,,,,3980,0.02,,,30,65
DR022,"Daun gandaria, segar",DABM-1964,81,63,3.1,0.3,14,2.1,1.6,40,45,4.7,3,127.7,,,,503,600,0.04,0.04,0.2,61,65
DR023,"Daun gedi besar, segar",KZGMI-2001,84,58,2.9,0.7,10,3.3,2.4,440,100,1.9,30,40,0.2,2.1,,596,,0.4,0.5,2.8,11,65
DR024,"Daun gedi kecil, segar",KZGMI-2001,83.7,61,3.2,0.7,10.4,3.4,2,420,70,1.7,20,50,0.1,1.4,,607,,0.4,0.3,2.9,11,65
DR025,"Daun gelang, segar",KZGPI-1990,90.3,30,1.3,0.7,5.8,1.3,1.9,350,210,11.9,5,333.3,0.31,1.2,0,4701,1954,0.01,0.14,0.7,1,52
DR026,"Daun gunda bali,
segar",KZGPI-1990,86.4,50,4.6,0.9,7,1.4,1.1,167,62,0.5,,,,,0,,6571,0.05,,,20,49
DR027,"Daun gunda serang,
segar",KZGPI-1990,84.6,62,4.2,0.9,9.2,1.3,1.1,171,64,0.6,,,,,0,,7347,0.02,,,20,47
DR028,"Daun jambu mete
muda, segar",DABM-1964,78,78,4.6,0.5,16.2,3,0.7,33,64,8.9,14,670.5,,,,4484,2689,0.02,1.12,1.1,65,65
DR029,"Daun jampang, segar",KZGPI-1990,88.9,34,3.8,0.5,5.3,1.4,1.5,21,245,1,,,,,0,,4357,0.03,,,3,47
