KODE,NAMA BAHAN,SUMBER,AIR (g),ENERGI (Kal),PROTEIN (g),LEMAK (g),KH (g),SERAT (g),ABU (g),KALSIUM (mg),FOSFOR (mg),BESI (mg),NATRIUM (mg),KALIUM (mg),TEMBAGA(mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR -TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT_C (mg),
TUNGGAL/SINGLE,,,,,,,,,,,,,,,,,,,,,,,,
HR001,"Telur ayam kampung,
segar",KZGMI-2001,73.1,174,10.8,14,1.2,0,0.9,68,268,4.9,190,141,0.6,1.5,203,23,125,0.78,0.62,0.2,,87
HR002,"Telur ayam ras, segar",KZGPI-1990,74.3,154,12.4,10.8,0.7,0,0.8,86,258,3,142,118.5,0.16,1,61,22,104,0.12,0.38,0.2,0,89
HR003,"Telur ayam ras, bagian
kuning, segar",DABM-1964,49.4,355,16.3,31.9,0.7,0,1.7,147,586,7.2,111,107.5,0.2,2.5,606,63,,0.27,0.51,0.2,0,100
HR004,"Telur aAyam ras,
bagian putih, segar",DABM-1964,87.8,50,10.8,0,0.8,0,0.6,6,17,0.2,164,138.5,0.03,0.4,0,0,,0,0.26,0.4,0,100
HR005,"Telur bebek alabio,
segar",KZGMI-2001,70,187,11.8,14.2,3,0,1,60,268,6,115,80,0.6,1.7,180,437,,1.55,0.37,0.1,,90
HR006,"Telur bebek, bagian
kuning, segar",DABM-1964,47,386,17,35,0.8,0,0.2,150,400,7,106,90.7,0.09,2.5,870,747,,0.6,0.68,1.4,0,100
HR007,"Telur bebek, bagian
putih, segar",DABM-1964,88,54,11,0,0.8,0,0.2,21,20,0.1,184,150.2,0.13,0.1,0,0,,0.01,0.02,0.1,0,100
HR008,"Telur bebek tambak,
segar",KZGMI-2001,67.7,187,10.9,12.4,7.9,0,1.1,64,295,5.4,209,146,0.4,1.8,378,471,375,1.62,0.03,0.1,,90
HR009,"Telur burung maleo,
segar",KZGMI-2001,36,436,26.5,36.3,0.4,,0.8,154,120,4.3,77,333,0.4,2.9,3987,,,,1,0.2,,
HR010,"Telur penyu, segar",KZGMI-2001,7.4,136,8.6,10.1,2.7,0,1.2,66,282,3.4,478,115,0.5,1.4,82,17,,0.21,0.02,0,0,90
HR011,"Telur burung puyuh,
segar",FCTEA-1972,79.8,116,10.7,7,1.6,0,0.9,65,191,3.5,111,11,0.05,1.2,95,80,,0.13,0.65,0.1,0,100
OLAHAN/PRODUK/KOMPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
HP001,"Telur ayam, dadar,
masakan",KZGPI-1990,61.9,251,16.3,19.4,1.4,0,1,62,250,2.5,,,,,36,,221,0.21,0,,0,100
HP002,"Telur bebek, asin,
mentah",DABM- 60/64,66.5,179,13.6,13.3,4.4,0,2.2,120,157,1.8,483,140.1,,,253,13,,0.28,0.98,0.6,0,83
HP003,"Telur bebek, dadar,
masakan",KZGPI-1990,55.1,301,20,23.7,0,0,1.2,71,600,9.2,,,,,122,,613,0.35,,,0,100
HP004,"Ikan, telur, asin,
mentah",KZGMI-2001,37.8,358,20.7,26.4,9.4,0,5.7,48,311,15.1,2684,59,0.4,3,1866,0,,0.21,0.54,2.1,,100
HP005,"Bayau mi balu,
masakan",KGZMI-2001,36.1,313,6,12.2,44.8,,0.9,,,,,,,,783,89,,0.14,0.27,9.7,,100
HP006,"Cucuru bayau,
masakan",KGZMI-2001,35,349,6.8,18.7,38.3,,1.2,,,,,,,,,123,,0.06,0.25,0,,100
HP007,"Kalio telur, masakan",KZGMS-1993,79,193,10.6,12.4,9.7,,1.4,148,246,3.8,540,,,,160,,3600,0.44,,,0,100
